otu,Phylum,Class,Order,Family,Genus,Species,Subspecies,Similarity,Status,Process ID
,Annelida,Clitellata,Haplotaxida,Naididae,,,,86.42,Published,GMOAP185-13
,Annelida,Clitellata,Haplotaxida,Lumbricidae,,,,85.88,Private,
,Annelida,Clitellata,Haplotaxida,Kazimierzidae,Kazimierzus,fransiscus,,85.87,Published,GBMND43216-21
,Annelida,Clitellata,Haplotaxida,Kazimierzidae,Kazimierzus,fransiscus,,85.86,Published,GBMND43215-21
,Annelida,Clitellata,Haplotaxida,Lumbricidae,,,,85.19,Private,
,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,trifasciata,,85.19,Private,
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Eisenia,andrei,,85.06,Published,GAHAP003-12
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Eisenia,andrei,,85.06,Published,GAHAP004-12
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Eisenia,andrei,,85.06,Published,GAHAP005-12
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Eisenia,andrei,,85.06,Published,GAHAP006-12
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Eisenia,andrei,,85.06,Published,GAHAP007-12
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Eisenia,andrei,,85.06,Published,GAHAP008-12
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Eisenia,andrei,,85.06,Published,GAHAP009-12
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Eisenia,andrei,,85.06,Published,GAHAP010-12
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Eisenia,andrei,,85.06,Published,GAHAP011-12
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Eisenia,andrei,,85.06,Published,GAHAP012-12
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Eisenia,andrei,,85.06,Published,GAHAP013-12
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Eisenia,andrei,,85.06,Published,GAHAP014-12
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Eisenia,andrei,,85.06,Published,GAHAP015-12
otu1001,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
otu1004,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
otu1009,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,edentata,,83.33,Published,ABMMC11462-10
,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neorhodomela,oregona,,83.33,Early-Release,
,Rhodophyta,Florideophyceae,Rhodymeniales,Lomentariaceae,Lomentaria,articulata,,83.33,Published,PNMIA426-14
,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniaceae,Halopeltis,sp. 2Cocos,,82.72,Private,
,Mollusca,Bivalvia,Cardiida,Cardiidae,Fragum,fragum,,82.67,Published,GBMBV048-10
,Rhodophyta,Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,lyngbyanum,,82.22,Published,PNMIA660-14
,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,secundatum,,82.22,Published,PNMIA1491-14
,Rhodophyta,Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,lyngbyanum,,82.22,Published,PNMIA1981-14
,Rhodophyta,Florideophyceae,Peyssonneliales,Peyssonneliaceae,Peyssonnelia,sp. 2VIC,,82.02,Private,
,Arthropoda,Malacostraca,Isopoda,Asellidae,Proasellus,anophtalmus,,81.61,Published,GBCMI4754-19
,Arthropoda,Malacostraca,Isopoda,Asellidae,Proasellus,anophtalmus,,81.61,Published,GBCMI4745-19
,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Jardinella,tumorosa,,81.48,Published,GBMLH0542-06
,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Cryptonemia,borealis,,81.11,Private,
,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,sp. 1paniculata,,81.11,Private,
,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Savoiea,robusta,,81.11,Early-Release,
,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Erythrophyllum,delesserioides,,81.11,Published,ABMMC11386-10
,Arthropoda,Malacostraca,Amphipoda,,,,,80.95,Published,ANZR555-08
,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Salishia,sanguinea,,80.9,Published,ABMMC2273-08
,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniaceae,Sparlingia,pertusa,,80.61,Published,ABMMC2539-08
,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,80.25,Private,
otu1012,Arthropoda,Insecta,Lepidoptera,Sphingidae,Dolba,hyloeus,,50,Published,PHMO303-03
,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hemaris,thysbe,,50,Published,PHMO295-03
,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca,quinquemaculatus,,50,Published,PHMO274-03
,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx,canadensis,,50,Published,PHMO272-03
,Arthropoda,Insecta,Lepidoptera,Sphingidae,Ceratomia,amyntor,,50,Published,PHMO243-03
,Arthropoda,Insecta,Lepidoptera,Sphingidae,Dolba,hyloeus,,50,Published,PHMO242-03
,Arthropoda,Insecta,Lepidoptera,Sphingidae,Paonias,excaecata,,50,Published,PHMO238-03
,Arthropoda,Insecta,Lepidoptera,Saturniidae,Dryocampa,rubicunda,,50,Published,PHMO136-03
,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx,canadensis,,50,Published,PHMO135-03
,Arthropoda,Insecta,Lepidoptera,Sphingidae,Darapsa,choerilus,,50,Published,PHMO132-03
,Arthropoda,Insecta,Lepidoptera,Sphingidae,Darapsa,myron,myron,50,Private,
,Arthropoda,Insecta,Lepidoptera,Saturniidae,Antheraea,polyphemus,,50,Published,PHMO072-03
,Arthropoda,Insecta,Lepidoptera,Saturniidae,Antheraea,polyphemus,,50,Published,PHMO060-03
,Arthropoda,Insecta,Lepidoptera,Sphingidae,Pachysphinx,modesta,,50,Published,PHMO058-03
,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hyles,euphorbiae,,50,Published,PHMO453-03
,Arthropoda,Insecta,Lepidoptera,Erebidae,Dasychira,plagiata,,50,Published,PHMO001-03
,Arthropoda,Insecta,Lepidoptera,Limacodidae,Euclea,delphinii,,50,Published,PHMO002-03
,Arthropoda,Insecta,Lepidoptera,Erebidae,Ctenucha,virginica,,50,Published,PHMO003-03
,Arthropoda,Insecta,Lepidoptera,Geometridae,Metanema,inatomaria,,50,Published,PHMO224-03
,Arthropoda,Insecta,Lepidoptera,Notodontidae,Furcula,borealis,,50,Published,PHMO225-03
otu1013,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
otu1017,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
otu1018,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
otu1025,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Euryastes,jagoi,,88.46,Published,GBMH4323-08
,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,nuneztovari A,,88.46,Private,
,Arthropoda,Insecta,Diptera,Stratiomyidae,Beris,hauseri,,88.46,Published,SSJAC1812-13
,Arthropoda,Insecta,Diptera,Phoridae,Megaselia,,,88.16,Published,GMACA072-15
,Arthropoda,Insecta,Diptera,Sciaridae,,,,87.65,Published,CNBFH341-15
,Arthropoda,Insecta,Diptera,Sciaridae,,,,87.65,Published,CNKLD845-14
,Arthropoda,Insecta,Diptera,Limoniidae,Pseudolimnophila,sepium,,87.65,Private,
,Arthropoda,Insecta,Diptera,Syrphidae,Toxomerus,marginatus,,87.65,Published,AGAKN194-17
,Arthropoda,Insecta,Diptera,Anisopodidae,Sylvicola,cinctus,,87.65,Published,PHAAM695-17
,Arthropoda,Insecta,Coleoptera,Staphylinidae,,,,87.65,Published,PLBBA406-19
,Arthropoda,Insecta,Diptera,Stratiomyidae,Pachygaster,leachii,,87.5,Published,BCFOR1435-17
,Arthropoda,Insecta,Diptera,Stratiomyidae,Pachygaster,leachii,,87.34,Published,BCFOR1453-17
,Arthropoda,Insecta,Diptera,Ceratopogonidae,Dasyhelea,,,87.18,Published,PAAUG1841-12
,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,,,87.18,Published,SSBAF1263-13
,Arthropoda,Insecta,Diptera,Sciaridae,,,,87.18,Published,SSJAD761-13
,Arthropoda,Insecta,Diptera,Sciaridae,,,,87.18,Published,SSJAD2068-13
,Arthropoda,Insecta,Diptera,Sciaridae,,,,87.18,Published,SSJAD4906-13
,Arthropoda,Insecta,Diptera,Anthomyzidae,Anthomyza,,,87.18,Published,SSEIB12299-13
,Arthropoda,Insecta,Diptera,Mycetophilidae,,,,87.18,Published,GMMGG320-14
,Arthropoda,Insecta,Diptera,Anthomyzidae,Anthomyza,pengellyi,,87.18,Published,SSGIC2592-15
otu1026,Platyhelminthes,Rhabditophora,Tricladida,Geoplanidae,Rhynchodemus,sylvaticus,,89.92,Published,TERIN002-17
,Platyhelminthes,Rhabditophora,Tricladida,Geoplanidae,Rhynchodemus,sylvaticus,,89.92,Published,TERIN001-17
,Platyhelminthes,Rhabditophora,Tricladida,Geoplanidae,Rhynchodemus,sylvaticus,,89.47,Published,TERIN004-17
,Platyhelminthes,Rhabditophora,Tricladida,Geoplanidae,Rhynchodemus,sylvaticus,,89.47,Published,TERIN003-17
,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Metaphycus,cylindricus,,76.92,Published,GBAH25788-19
,Arthropoda,Insecta,Hymenoptera,Aphelinidae,Aphelinus,varipes,,76.92,Published,CRHIA232-15
,Arthropoda,Insecta,Hymenoptera,Pompilidae,,,,76.19,Published,MAMTT182-14
,Arthropoda,Insecta,Hymenoptera,Pompilidae,Agenioideus,cinctellus,,75.86,Early-Release,
,Arthropoda,Insecta,Hymenoptera,Mymaridae,Lymaenon,,,75.64,Published,GMOGC1258-15
,Arthropoda,Insecta,Hymenoptera,Eulophidae,Paragaleopsomyia,,,75.58,Private,
,Arthropoda,Insecta,Hymenoptera,Eulophidae,,,,75.32,Published,CNROE931-13
,Arthropoda,Insecta,Hymenoptera,Mymaridae,Lymaenon,,,75.32,Published,GMBCG2151-15
,Arthropoda,Insecta,Hymenoptera,Mymaridae,Lymaenon,,,75.32,Published,AGAKN426-17
,Arthropoda,Insecta,Hymenoptera,Eulophidae,Aprostocetus,,,75.31,Published,CNTGC2557-15
,Arthropoda,Insecta,Hymenoptera,Mymaridae,Lymaenon,,,75,Published,GMSAG324-13
,Arthropoda,Insecta,Hymenoptera,Eulophidae,Sympiesis,ancylae,,75,Published,SSGBA2637-14
,Arthropoda,Insecta,Hymenoptera,Aphelinidae,Aphelinus,varipes,,75,Published,CRHIB562-15
,Arthropoda,Insecta,Hymenoptera,Mymaridae,Anagrus,,,75,Private,
,Arthropoda,Insecta,Hymenoptera,Mymaridae,,,,75,Published,PLGBD423-19
,Arthropoda,Insecta,Hymenoptera,Mymaridae,Anagrus,,,74.8,Private,
otu1027,Arthropoda,Insecta,Hymenoptera,Halictidae,Dufourea,mulleri,,87.01,Published,BEECC238-08
,Arthropoda,Insecta,Hymenoptera,Braconidae,Glyptapanteles,mamiae,,86.21,Published,ASGLY094-16
,Arthropoda,Insecta,Trichoptera,Psychomyiidae,Psychomyia,flavida,,85.9,Published,UMNEA718-08
,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,cladothricis,,85.9,Private,
,Arthropoda,Arachnida,Trombidiformes,Tarsonemidae,Steneotarsonemus,spinki,,85.71,Published,GBMND46073-21
,Arthropoda,Insecta,Hymenoptera,Braconidae,Diolcogaster,Choi70,,85.71,Published,ASBR742-06
,Arthropoda,Insecta,Hymenoptera,Halictidae,Dufourea,trochantera,,85.71,Private,
,Arthropoda,Insecta,Hymenoptera,Braconidae,Glyptapanteles,mamiae,,85.56,Published,ASGLY097-16
,Arthropoda,Insecta,Hymenoptera,Platygastridae,,,,85.54,Private,
,Arthropoda,Insecta,Hymenoptera,Braconidae,Pholetesor,cf. circumscriptus,,85.42,Private,
,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Campoplex,NV-05,,85.06,Early-Release,
,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,vestalis,,84.95,Published,NZMG257-11
,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,pellucidula,,84.62,Published,GBMIN91589-17
,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,imitatum,,84.62,Published,UPOLB682-09
,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,,,84.62,Published,CNCBR625-09
,Arthropoda,Arachnida,Trombidiformes,Pygmephoridae,,,,84.62,Published,CHACB510-10
,Arthropoda,Insecta,Lepidoptera,Argyresthiidae,Argyresthia,,,84.62,Published,GMACT513-15
,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,,,84.62,Private,
,Arthropoda,Insecta,Lepidoptera,Momphidae,Mompha,definitella,,84.62,Published,GBMNA27019-19
,Arthropoda,Arachnida,Trombidiformes,Tarsonemidae,Steneotarsonemus,spinki,,84.52,Published,GBMND46074-21
otu1028,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,sp.,,88,Private,
,Chordata,Aves,Passeriformes,Melanocharitidae,Toxorhamphus,novaeguineae,,87.18,Published,BIFZF051-17
,Arthropoda,Malacostraca,Amphipoda,Pardaliscidae,,,,86.67,Published,ANZRS566-08
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85476-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85475-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85474-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85473-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85472-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85471-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85470-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85469-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85468-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85467-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85466-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85465-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85464-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85463-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85462-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85461-21
,Arthropoda,Malacostraca,Decapoda,Grapsidae,Planes,,,86.42,Published,GBMND85460-21
otu1035,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,No Match,
